full,abbreviated
GRIMPETTE,GRIM
GROUPE,GROU
GROUPEMENT,GROU
GROUPES,GROU
HALLE,HALL
HALLES,HALL
HAMEAU,HAME
HAMEAUX,HAME
HAUT CHEMIN,HAUT
HAUTS CHEMINS,HAUT
HIPPODROME,HIPP
HLM,HLM
ILE,ILE
IMMEUBLE,IMM
IMMEUBLES,IMM
IMPASSE,IMP
IMPASSES,IMP
JARDIN,JARD
JARDINS,JARD
JETEE,JETE
JETEES,JETE
LEVEE,LEVE
LIEU DIT,LD
LOTISSEMENT,LOTI
LOTISSEMENTS,LOTI
MAIL,MAIL
MAISON FORESTIERE,MAIS
MANOIR,MANO
MARCHE,MARC
MARCHES,MARC
MAS,MAS
METRO,METR
MONTEE,MONT
MONTEES,MONT
MOULIN,MOUL
MOULINS,MOUL
MUSEE,MUSE
NOUVELLE ROUTE,NOUV
PALAIS,PALA
PARC,PARC
PARCS,PARC
PARKING,PARK
PARVIS,PARV
PASSAGE,PASS
PASSAGE A NIVEAU,PASS
PASSE,PASS
PASSERELLE,PASS
PASSERELLES,PASS
PASSES,PASS
PATIO,PATI
PAVILLON,PAVI
PAVILLONS,PAVI
PERIPHERIQUE,PERI
PERISTYLE,PERI
PETIT CHEMIN,PETI
PETITE ALLEE,PETI
PETITE AVENUE,PETI
PETITE IMPASSE,PETI
PETITE ROUTE,PETI
PETITE RUE,PETI
PETITES ALLEES,PETI
PLACE,PL
PLACIS,PLAC
PLAGE,PLAG
PLAGES,PLAG
PLAINE,PLAI
PLAN,PLAN
PLATEAU,PLAT
PLATEAUX,PLAT
POINTE,POIN
PONT,PONT
PONTS,PONT
PORCHE,PORC
PORT,PORT
PORTE,PORT
PORTIQUE,PORT
PORTIQUES,PORT
POTERNE,POTE
POURTOUR,POUR
PRE,PRE
PRESQU ILE,PRES
PROMENADE,PROM
QUAI,QUAI
QUARTIER,QUAR
RACCOURCI,RACC
RAIDILLON,RAID
RAMPE,RAMP
REMPART,REMP
RESIDENCE,RESI
RESIDENCES,RESI
ROC,ROC
ROCADE,ROCA
ROND POINT,RPT
ROQUET,ROQU
ROTONDE,ROTO
ROUTE,RTE
ROUTES,ROUT
RUE,RUE
RUELLE,RUEL
RUELLES,RUEL
RUES,RUES
SENTE,SENT
SENTES,SENT
SENTIER,SENT
SENTIERS,SENT
SQUARE,SQ
STADE,STAD
STATION,STAT
TERRAIN,TERR
TERRASSE,TERR
TERRASSES,TERR
TERRE PLEIN,TERR
TERTRE,TERT
TERTRES,TERT
TOUR,TOUR
TRAVERSE,TRAV
VAL,VAL
VALLEE,VALL
VALLON,VALL
VENELLE,VENE
VENELLES,VENE
VIA,VIA
VIEILLE ROUTE,VIEI
VIEUX CHEMIN,VIEU
VILLA,VILL
VILLAGE,VLGE
VILLAGES,VILL
VILLAS,VILL
VOIE,VOIE
VOIES,VOIE
ZONE,ZONE
ZONE A URBANISER EN PRIORITE,ZONE
ZONE ARTISANALE,ZONE
ZONE D ACTIVITE,ZA
ZONE D AMENAGEMENT CONCERTE,ZAC
ZONE D AMENAGEMENT DIFFERE,ZAD
ZONE INDUSTRIELLE,ZI
