numero_uai;appellation_officielle;denomination_principale;patronyme_uai;secteur_public_prive_libe;adresse_uai;lieu_dit_uai;boite_postale_uai;code_postal_uai;localite_acheminement_uai;libelle_commune;coordonnee_x;coordonnee_y;epsg;latitude;longitude;appariement;localisation;nature_uai;nature_uai_libe;etat_etablissement;etat_etablissement_libe;code_departement;code_region;code_academie;code_commune;libelle_departement;libelle_region;libelle_academie;position;secteur_prive_code_type_contrat;secteur_prive_libelle_type_contrat;code_ministere;libelle_ministere;date_ouverture
0062046S;Ecole primaire privée Internationale Bilingue;ECOLE PRIMAIRE PRIVEE;INTERNATIONALE BILINGUE PEGOMA;Privé;1247 route de Grasse;Centre la bergerie;;06580;PEGOMAS;Pégomas;1016519.6;6285953.0;EPSG:2154;43.601897032457366;6.920559514171795;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;006;93;23;06090;Alpes-Maritimes;Provence-Alpes-Côte d'Azur;Nice;43.601897032457366,6.920559514171795;10;HORS CONTRAT;06;MINISTERE DE L'EDUCATION NATIONALE;2007-09-01
0062060G;Ecole primaire de Séranon;ECOLE PRIMAIRE PUBLIQUE;SERANON;Public;Rue de la Gendarmerie;;;06750;SERANON;Séranon;998003.1;6304080.9;EPSG:2154;43.772864017908525;6.702070534981469;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;006;93;23;06134;Alpes-Maritimes;Provence-Alpes-Côte d'Azur;Nice;43.772864017908525,6.702070534981469;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;2008-09-01
0062064L;Ecole maternelle privée Autrement Cedre;ECOLE MATERNELLE PRIVEE;AUTREMENT CEDRE;Privé;39 avenue Saint-Jean;;;06400;CANNES;Cannes;1024255.4;6281474.8;EPSG:2154;43.5581598980216;7.013398774642959;Parfaite;Numéro de rue;101;ECOLE MATERNELLE;1;OUVERT;006;93;23;06029;Alpes-Maritimes;Provence-Alpes-Côte d'Azur;Nice;43.5581598980216,7.013398774642959;10;HORS CONTRAT;06;MINISTERE DE L'EDUCATION NATIONALE;2008-09-01
0610538D;Ecole primaire publique;ECOLE PRIMAIRE PUBLIQUE;;Public;;LE BOURG;;61100;MONTILLY SUR NOIREAU;Montilly-sur-Noireau;437859.0;6863194.9;EPSG:2154;48.81546374184565;-0.5710801892043712;Correcte;Ville;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;061;28;70;61287;Orne;Normandie;Normandie;48.81546374184565,-0.5710801892043712;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1966-10-07
0062122Z;Collège privé Jenny Dagul;COLLEGE PRIVE;COLLEGE JENNY DAGUL;Privé;22 rue LOUIS NOUVEAU;;;06400;CANNES;Cannes;1025445.2;6281063.3;EPSG:2154;43.55391743547684;7.027840192141024;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;006;93;23;06029;Alpes-Maritimes;Provence-Alpes-Côte d'Azur;Nice;43.55391743547684,7.027840192141024;31;CONTRAT ASSOCIATION PARTIE DES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;2010-09-01
0610589J;Ecole primaire;ECOLE ELEMENTAIRE PUBLIQUE;;Public;10 rue des Ecoles;;;61700;ST BOMER LES FORGES;Saint-Bômer-les-Forges;432415.3;6844252.6;EPSG:2154;48.643037073760325;-0.6332694558854017;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;061;28;70;61369;Orne;Normandie;Normandie;48.643037073760325,-0.6332694558854017;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1966-10-04
0062150E;Ecole 2nd degré général et technologique privée Mouratoglou international school;ECOLE 2D DEGRE GENERAL ET TECHNOLOGIQUE PRIVEE;MOURATOGLOU INTERNATIONAL SCHOOL;Privé;3550 route des Dolines;;;06410;BIOT;Biot;1027611.2;6288581.7;EPSG:2154;43.62047843235645;7.0593799149751595;Parfaite;Numéro de rue;300;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;1;OUVERT;006;93;23;06018;Alpes-Maritimes;Provence-Alpes-Côte d'Azur;Nice;43.62047843235645,7.0593799149751595;10;HORS CONTRAT;06;MINISTERE DE L'EDUCATION NATIONALE;2016-09-01
0610590K;Ecole maternelle  Les Minoiseaux;ECOLE MATERNELLE PUBLIQUE;LES MINOISEAUX;Public;;LA MINE;;61490;ST CLAIR DE HALOUZE;Saint-Clair-de-Halouze;433424.0;6849292.4;EPSG:2154;48.688737449898674;-0.6227298729630678;Moyenne;Rue;101;ECOLE MATERNELLE;1;OUVERT;061;28;70;61376;Orne;Normandie;Normandie;48.688737449898674,-0.6227298729630678;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1966-10-04
0062203M;Ecole générale et technologique privée association Yechiva Daat;ECOLE GEN.ET TECHNOL.PRIVEE;ASSOCIATION YECHIVA DAAT;Privé;1 bis rue Boisy d'Anglas;;;06000;NICE;Nice;1043646.5;6299053.9;EPSG:2154;43.70697511575858;7.264695683167126;Parfaite;Numéro de rue;300;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;1;OUVERT;006;93;23;06088;Alpes-Maritimes;Provence-Alpes-Côte d'Azur;Nice;43.70697511575858,7.264695683167126;10;HORS CONTRAT;06;MINISTERE DE L'EDUCATION NATIONALE;2019-09-04
0610614L;Ecole primaire publique;ECOLE PRIMAIRE PUBLIQUE;;Public;13 rue des Vallées;LE BOURG;;61430;STE HONORINE LA CHARDONNE;Sainte-Honorine-la-Chardonne;444082.8;6863766.4;EPSG:2154;48.8230990965733;-0.48674999616609815;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;061;28;70;61407;Orne;Normandie;Normandie;48.8230990965733,-0.48674999616609815;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1966-10-05
